wilayah,bupati,wakil
Kabupaten Aceh Barat,Mahdi Efendi(Penjabat),
Kabupaten Aceh Barat Daya,Darmansyah(Penjabat),
Kabupaten Aceh Besar,Muhammad Iswanto(Penjabat),
Kabupaten Aceh Jaya,Nurdin(Penjabat),
Kabupaten Aceh Selatan,Cut Syazalisma(Penjabat),Lowong
Kabupaten Aceh Singkil,Azmi(Penjabat),
Kabupaten Aceh Tamiang,Meurah Budiman(Penjabat),
Kabupaten Aceh Tengah,Teuku Mirzuan(Penjabat),
Kabupaten Aceh Tenggara,Syakir(Penjabat),
Kabupaten Aceh Timur,Mahyuddin(Penjabat),
Kabupaten Aceh Utara,Mahyuzar(Penjabat),
Kabupaten Bener Meriah,Haili Yoga(Penjabat),
Kabupaten Bireuen,Aulia Sofyan(Penjabat),
Kabupaten Gayo Lues,Alhudri(Penjabat),
Kabupaten Nagan Raya,Fitriany Farhas(Penjabat),
Kabupaten Pidie,Wahyudi Adisiswanto(Penjabat),
Kabupaten Pidie Jaya,Aiyub Abbas,Said Mulyadi
Kabupaten Simeulue,Ahmadlyah(Penjabat),
Kota Banda Aceh,Amiruddin(Penjabat),
Kota Langsa,Syaridin(Penjabat),
Kota Lhokseumawe,Imran(Penjabat),
Kota Sabang,Reza Fahlevi(Penjabat),
Kota Subulussalam,Affan Alfian Bintang,Salmaza Kombih
