wilayah,bupati,wakil
Kabupaten Batanghari,Muhammad Fadhil Arief,Bakhtiar
Kabupaten Bungo,Mashuri,Safrudin Dwi Apriyanto
Kabupaten Kerinci,Adirozal,Ami Taher
Kabupaten Merangin,Mukti Said(Penjabat),
Kabupaten Muaro Jambi,Bachyuni Deliansyah(Penjabat),
Kabupaten Sarolangun,Bachril Bakri(Penjabat),
Kabupaten Tanjung Jabung Barat,Anwar Sadat,Hairan
Kabupaten Tanjung Jabung Timur,Romi Hariyanto,Robby Nahliyansyah
Kabupaten Tebo,Aspan(Penjabat),
Kota Jambi,Syarif Fasha,Maulana
Kota Sungai Penuh,Ahmadi Zubir,Alvia Santoni
