wilayah,bupati,wakil
Kabupaten Bandung,Dadang Supriatna,Sahrul Gunawan
Kabupaten Bandung Barat,Arsan Latif(Penjabat),lowong
Kabupaten Bekasi,Dani Ramdan(Penjabat),lowong
Kabupaten Bogor,Iwan Setiawan,lowong
Kabupaten Ciamis,Herdiat Sunarya,Yana D. Putra
Kabupaten Cianjur,Herman Suherman,Tubagus Mulyana Syahrudin
Kabupaten Cirebon,Imron Rosyadi,Wahyu Tjiptaningsih
Kabupaten Garut,Rudy Gunawan,Helmi Budiman
Kabupaten Indramayu,Nina Agustina,"lowong
(Wakil Wali Kota mengundurkan diri)"
Kabupaten Karawang,Cellica Nurrachadiana,Aep Syaepuloh
Kabupaten Kuningan,Acep Purnama,Muhammad Ridho Suganda
Kabupaten Majalengka,Karna Sobahi,Tarsono D. Mardiana
Kabupaten Pangandaran,Jeje Wiradinata,Ujang Endin Indrawan
Kabupaten Purwakarta,Benny Irwan(Penjabat),lowong
Kabupaten Subang,Ruhimat,Agus Masykur Rosyadi
Kabupaten Sukabumi,Marwan Hamami,Iyos Sumantri
Kabupaten Sumedang,Herman Suryatman(Penjabat),lowong
Kabupaten Tasikmalaya,Ade Sugianto,Cecep Nurul Yakin
Kota Bandung,Bambang Tirtoyuliono(Penjabat),lowong
Kota Banjar,Ade Uu Sukaesih,Nana Suryana Mahesa
Kota Bekasi,Gani Muhammad(Penjabat),lowong
Kota Bogor,Bima Arya Sugiarto,Dedie A. Rachim
Kota Cimahi,Dikdik Suratno Nugrahawan(Penjabat),lowong
Kota Cirebon,Nasrudin Azis,Eti Herawati
Kota Depok,Mohammad Idris,Imam Budi Hartono
Kota Sukabumi,Kusmana Hartadji(Penjabat),lowong
Kota Tasikmalaya,Cheka Virgowansyah(Penjabat),lowong
