wilayah,bupati,wakil
Kabupaten Banjarnegara,Tri Harso Widirahmanto  (Penjabat),
Kabupaten Banyumas,Hanung Cahyo Saputro(Penjabat),
Kabupaten Batang,Lani Dwi Rejeki(Penjabat),
Kabupaten Blora,"H. Arief Rohman, M.Si.","Tri Yuli Setyowati, S.T, M.M."
Kabupaten Boyolali,Said Hidayat,Wahyu Irawan
Kabupaten Brebes,Urip Sihabudin(Penjabat),
Kabupaten Cilacap,Yunita Dyah Suminar(Penjabat),
Kabupaten Demak,Eisti'anah,Ali Makhsun
Kabupaten Grobogan,Sri Sumarni,Bambang Pujiyanto
Kabupaten Jepara,Edy Supriyanta(Penjabat),
Kabupaten Karanganyar,Juliyatmono,Rober Christanto
Kabupaten Kebumen,Arif Sugiyanto,Ristawati Purwaningsih
Kabupaten Kendal,Dico Ganinduto,Windu Suko Basuki
Kabupaten Klaten,Sri Mulyani,Yoga Hardaya
Kabupaten Kudus,Bergas Catursasi Penanggungan(Penjabat),
Kabupaten Magelang,Zaenal Arifin,Edi Cahyana
Kabupaten Pati,Henggar Budi Anggoro(Penjabat),
Kabupaten Pekalongan,Fadia Arafiq,Riswadi
Kabupaten Pemalang,Mansur Hidayat (Plt.),
Kabupaten Purbalingga,Dyah Hayuning Pratiwi,Sudono
Kabupaten Purworejo,Agus Bastian,Yuli Hastuti
Kabupaten Rembang,Abdul Hafidz,Mochamad Hanies Cholil Barro
Kabupaten Semarang,Ngesti Nugraha,M. Basari
Kabupaten Sragen,Kusdinar Untung Yuni Sukowati,Suroto
Kabupaten Sukoharjo,Etik Suryani,Agus Santosa
Kabupaten Tegal,Umi Azizah,Sabilillah Ardie
Kabupaten Temanggung,Hary Agung Prabowo(Penjabat),
Kabupaten Wonogiri,Joko Sutopo,Setyo Sukarno
Kabupaten Wonosobo,Afif Nurhidayat,Muhammad Albar
Kota Magelang,Muchamad Nur Aziz,M. Mansyur
Kota Pekalongan,Achmad Afzan Arslan Djunaid,Salahudin
Kota Salatiga,Sinoeng Noegroho Rachmadi(Penjabat),
Kota Semarang,Hevearita Gunaryanti Rahayu,Lowong
Kota Surakarta,Gibran Rakabuming,Teguh Prakosa
Kota Tegal,Dedy Yon Supriyono,Muhamad Jumadi
