wilayah,bupati,wakil
Kabupaten Bangkalan,Arief Moelia Edie(Penjabat),
Kabupaten Banyuwangi,Ipuk Fiestiandani,Sugirah
Kabupaten Blitar,Rini Syarifah,Rahmat Santoso
Kabupaten Bojonegoro,Adriyanto(Penjabat),
Kabupaten Bondowoso,Bambang Soekwanto(Penjabat),
Kabupaten Gresik,Fandi Akhmad Yani,Aminatun Habibah
Kabupaten Jember,Hendy Siswanto,Balya Firjaun Barlaman
Kabupaten Jombang,Sugiat(Penjabat),
Kabupaten Kediri,Hanindhito Himawan Pramana,Dewi Mariya Ulfa
Kabupaten Lamongan,Yuhronur Efendi,Abdul Rouf
Kabupaten Lumajang,Indah Wahyuni(Penjabat),
Kabupaten Madiun,Tontro Pahlawanto(Penjabat),
Kabupaten Magetan,Hergunadi(Penjabat),
Kabupaten Malang,Sanusi,Didik Gatot Subroto
Kabupaten  Mojokerto,Ikfina Fahmawati,Muhammad Al Barra
Kabupaten Nganjuk,Sri Handoko Taruna(Penjabat),
Kabupaten Ngawi,Ony Anwar Harsono,Dwi Rianto Jatmiko
Kabupaten Pacitan,Indrata Nur Bayuaji,Gagarin
Kabupaten Pamekasan,Masrukin(Penjabat),
Kabupaten Pasuruan,Andriyanto(Penjabat),
Kabupaten Ponorogo,Sugiri Sancoko,Lisdyarita
Kabupaten Probolinggo,Ugas Irwanto(Penjabat),
Kabupaten Sampang,H. Slamet Junaidi,H. Abdullah Hidayat
Kabupaten Sidoarjo,Ahmad Muhdlor Ali,Subandi
Kabupaten Situbondo,Karna Suswandi,Khoirani
Kabupaten Sumenep,Achmad Fauzi,Dewi Khalifah
Kabupaten Trenggalek,Mochamad Nur Arifin,Syah Muhamad Natanegara
Kabupaten Tuban,Aditya Halindra Faridzky,H. Riyadi
Kabupaten Tulungagung,Heru Suseno(Penjabat),
Kota Batu,Aries Agung Paewai(Penjabat),
Kota Blitar,Santoso,Tjutjuk Sunario
Kota Kediri,"Abdullah Abu Bakar, S.E.",Lowong(Wakil Wali Kota meninggal dunia)[8]
Kota Madiun,"Drs. H. Maidi, S.H., M.M., M.Pd.",Inda Raya Ayu Miko Saputri
Kota Malang,Wahyu Hidayat(Penjabat),
Kota Mojokerto,"Ika Puspitasari, S.E.",Lowong(Wakil Wali Kota meninggal dunia)[10]
Kota Pasuruan,Saifullah Yusuf,Adi Wibowo
Kota Probolinggo,Habib Hadi Zainal Abidin,Lowong(Wakil Wali Kota meninggal dunia)[12]
Kota Surabaya,Eri Cahyadi,Armuji
