wilayah,bupati,wakil
Kabupaten Bengkayang,"Sebastianus Darwis,S.E., M.M.",Drs. H.Syamsul Rizal
Kabupaten Kapuas Hulu,"Fransiskus Diaan,S.H.","Wahyudi Hidayat,S.T."
Kabupaten Kayong Utara,"Romi Wijaya
(Penjabat)",
Kabupaten Ketapang,"Martin Rantan,S.H., M.Sos.","Farhan,S.E., M.Si."
Kabupaten Kubu Raya,Muda Mahendrawan,Sujiwo
Kabupaten Landak,Samuel(Penjabat),
Kabupaten Melawi,H.Dadi Sunarya Usfa Yusra,Drs.Kluisen
Kabupaten Mempawah,Erlina Ria Norsan,Muhammad Pagi
Kabupaten Sambas,"H.Satono,S.Sos.I., M.H.","Fahrur Rofi,S.I.P., M.H.Sc."
Kabupaten Sanggau,Paolus Hadi,Yohanes Ontot
Kabupaten Sekadau,"Aron,S.H.","Subandrio,S.H., M.H."
Kabupaten Sintang,"dr. H.Jarot Winarno,M.Med.PH.",MelkianusS.Sos
Kota Pontianak,Edi Rusdi Kamtono,Bahasan
Kota Singkawang,Sumastro(Penjabat),
