wilayah,bupati,wakil
Kabupaten Balangan,Abdul Hadi,Supiani
Kabupaten Banjar,Saidi Mansyur,Said Idrus
Kabupaten Barito Kuala,Mujiyat(Penjabat),
Kabupaten Hulu Sungai Selatan,"Hermansyah
(Penjabat)",
Kabupaten Hulu Sungai Tengah,Aulia Oktafiandi,Mansyah Sabri
Kabupaten Hulu Sungai Utara,Zakly Asswan(Penjabat),
Kabupaten Kota baru,Sayed Jafar Al-Idrus,Andi Rudi Latif
Kabupaten Tabalong,Anang Syakhfiani,Mawardi
Kabupaten Tanah Bumbu,Zairullah Azhar,Muhammad Rusli
Kabupaten Tanah Laut,"Syamsir Rahman
(Penjabat)",
Kabupaten Tapin,"Muhammad Syarifuddin
(Penjabat)",
Kota Banjarbaru,Aditya Mufti Ariffin,Wartono
Kota Banjarmasin,Ibnu Sina,Arifin Noor
