wilayah,bupati,wakil
Kabupaten Barito Selatan,Deddy Winarwan(Penjabat),
Kabupaten Barito Timur,"Indra Gunawan
(Penjabat)",
Kabupaten Barito Utara,"Muhlis
(Penjabat)",
Kabupaten Gunung Mas,Jaya Samaya Monong,Efrensia L.P. Umbing
Kabupaten Kapuas,"Erlin Hardi
(Penjabat)",
Kabupaten Katingan,"Syaiful
(Penjabat)",
Kabupaten Kota waringin Barat,Budi Santosa(Penjabat),
Kabupaten Kota waringin Timur,Halikinnor,Irawati
Kabupaten Lamandau,"Lilis Suriani
(Penjabat)",
Kabupaten Murung Raya,"Hermon
(Penjabat)",
Kabupaten Pulang Pisau,"Nunu Andriani
(Penjabat)",Lowong
Kabupaten Seruyan,"Djainuddin Noor
(Penjabat)",
Kabupaten Sukamara,"Kaspinor
(Penjabat)",
Kota Palangka Raya,"Hera Nugrahayu
(Penjabat)",
