wilayah,bupati,wakil
Kabupaten Berau,Sri Juniarsih Mas,Gamalis
Kabupaten Kutai Barat,Fransiskus Xaverius Yapan,Edyanto Arkan
Kabupaten Kutai Kartanegara,Edi Damansyah,Rendi Solihin
Kabupaten Kutai Timur,Ardiansyah Sulaiman,Kasmidi Bulang
Kabupaten Mahakam Ulu,Bonifasius Belawan Geh,Yohanes Avun
Kabupaten Paser,Fahmi Fadli,Syarifah Masitah
Kabupaten Penajam Paser Utara,Makmur Marbun(Penjabat),
Kota Balikpapan,Rahmad Mas'ud,Lowong
Kota Bontang,Basri Rase,Najirah
Kota Samarinda,Andi Harun,Rusmadi Wongso
