wilayah,bupati,wakil
Kabupaten Lampung Barat,Nukman(Penjabat),
Kabupaten Lampung Selatan,Nanang Ermanto,Pandu Kesuma Dewangsa
Kabupaten Lampung Tengah,Musa Ahmad,Ardito Wijaya
Kabupaten Lampung Timur,Dawam Rahardjo,Azwar Hadi
Kabupaten Lampung Utara,Budi Utomo,lowong
Kabupaten Mesuji,Sulpakar(Penjabat),
Kabupaten Pesawaran,Dendi Ramadhona,S. Marzuki
Kabupaten Pesisir Barat,Agus Istiqlal,Zulqioni Syarif
Kabupaten Pringsewu,Adi Erlansyah(Penjabat),
Kabupaten Tanggamus,Mulyadi Irsan(Penjabat),
Kabupaten Tulang Bawang,Qodratul Ikhwan(Penjabat),
Kabupaten Tulang Bawang Barat,Muhammad Firsada(Penjabat),
Kabupaten Way Kanan,Raden Adipati Surya,Ali Rahman
Kota Bandar Lampung,Eva Dwiana,Deddy Amrullah
Kota Metro,Wahdi,Qomaru Zaman
