wilayah,bupati,wakil
Kabupaten Buru,Djalaludin Salampessy(Penjabat),
Kabupaten Buru Selatan,Safitri Malik Soulisa,Gerson Eliaser Selsily
Kabupaten Kepulauan Aru,Johan Gonga,Muin Sogalrey
Kabupaten Kepulauan Tanimbar,Ruben Moriolkosu(Penjabat),
Kabupaten Maluku Barat Daya,Benyamin Thomas Noach,Agustinus Lekwardai Kilikily
Kabupaten Maluku Tengah,Rakib Sahubawa(Penjabat),
Kabupaten Maluku Tenggara,Muhamad Thaher Hanubun,Petrus Beruatwarin
Kabupaten Seram Bagian Barat,Andi Chandra As'adudin(Penjabat),
Kabupaten Seram Bagian Timur,Abdul Mukti Keliobas,Idris Rumalutur
Kota Ambon,Bodewin M. Wattimena(Penjabat),
Kota Tual,Adam Rahayaan,Usman Tamnge
