wilayah,bupati,wakil
Kabupaten Halmahera Barat,James Uang,Djufri Muhammad
Kabupaten Halmahera Selatan,Usman Sidik,Hasan Ali Bassam Kasuba
Kabupaten Halmahera Tengah,Ikram Sangadji(Penjabat),
Kabupaten Halmahera Timur,Ubaid Yakub,Anjas Taher
Kabupaten Halmahera Utara,Frans Manery,Muchlis Tapi Tapi
Kabupaten Kepulauan Sula,Fifian Adeningsi Mus,Saleh Marasabessy
Kabupaten Pulau Morotai,Muhammad Umar Ali(Penjabat),
Kabupaten Pulau Taliabu,Aliong Mus,Ramli
Kota Ternate,M. Tauhid Soleman,Jasri Usman
Kota Tidore Kepulauan,Ali Ibrahim,Muhammad Senin
