wilayah,bupati,wakil
Kabupaten Bima,Indah Dhamayanti Putri,Dahlan M. Noer
Kabupaten Dompu,Kader Jaelani,Syahrul Parsan
Kabupaten Lombok Barat,Fauzan Khalid,Hj. Sumiatun
Kabupaten Lombok Tengah,Lalu Pathul Bahri,Nursiah
Kabupaten Lombok Timur,Juaini Taofik(Penjabat),
Kabupaten Lombok Utara,Djohan Sjamsu,Danny Karter Febrianto
Kabupaten Sumbawa,Mahmud Abdullah,Dewi Noviany
Kabupaten Sumbawa Barat,W. Musyafirin,Fud Syaifuddin
Kota Bima,Mohammad Rum(Penjabat),
Kota Mataram,Mohan Roliskana,Mujiburrahman
