wilayah,bupati,wakil
Kabupaten Alor,Amon Djobo,Lowong
Kabupaten Belu,Agustinus Taolin,Aloysius Haleserens
Kabupaten Ende,Djafar H. Achmad,Erikos Emanuel Rede
Kabupaten Flores Timur,Doris Alexander Rihi(Penjabat),
Kabupaten Kupang,Korinus Masneno,Jerry Manafe
Kabupaten Lembata,Matheos Tan(Penjabat),
Kabupaten Malaka,Simon Nahak,Louise Lucky Taolin
Kabupaten Manggarai,Herybertus G.L. Nabit,Heribertus Ngabut
Kabupaten Manggarai Barat,Edistasius Endi,Yulianus Weng
Kabupaten Manggarai Timur,Agas Andreas,Siprianus Habur
Kabupaten Nagekeo,Johanes Don Bosco Do,Marianus Waja
Kabupaten Ngada,Andreas Paru,Raymundus Bena
Kabupaten Rote Ndao,Paulina Haning-Bullu,Stefanus M. Saek
Kabupaten Sabu Raijua,Nikodemus Nithanel Rihi Heke,Yohanis Uly Kale
Kabupaten Sikka,"Adrianus Firminus
(Penjabat)",
Kabupaten Sumba Barat,Yohanis Dade,John Lado Bora Kabba
Kabupaten Sumba Barat Daya,Kornelius Kodi Mete,Marthen Christian Taka
Kabupaten Sumba Tengah,Paulus Sekayu Karugu Limu,Daniel Landa
Kabupaten Sumba Timur,Khristofel Praing,David Melo Wadu
Kabupaten Timor Tengah Selatan,Egusem Pieter Tahun,Johny Army Konay
Kabupaten Timor Tengah Utara,Juandi David,Eusabius Binsasi
Kota Kupang,Fahrensy Priestly Funay(Penjabat),
