wilayah,bupati,wakil
Kabupaten Bengkalis,Kasmarni,Bagus Santoso
Kabupaten Indragiri Hilir,Muhammad Wardan,Syamsuddin Uti
Kabupaten Indragiri Hulu,Rezita Meylani Yopi,Junaidi Rachmat
Kabupaten Kampar,Muhammad Firdaus(Penjabat),
Kabupaten Kepulauan Meranti,Asmar (Plt.),
Kabupaten Kuantan Singingi,Suhardiman Amby,
Kabupaten Pelalawan,Zukri,Nasarudin
Kabupaten Rokan Hilir,Afrizal Sintong,Sulaiman
Kabupaten Rokan Hulu,Sukiman,Indra Gunawan
Kabupaten Siak,Alfedri,Husni Merza
Kota Dumai,Paisal,Lowong(Wakil Wali Kota meninggal dunia)
Kota Pekanbaru,Muflihun(Penjabat),
