wilayah,bupati,wakil
Kabupaten Bantaeng,Andi Abu Bakar(Penjabat),
Kabupaten  Barru,Suardi Saleh,Aska Mappe
Kabupaten  Bone,Andi Islamuddin(Penjabat),
Kabupaten  Bulukumba,Andi Muchtar Ali Yusuf,Andi Edy Manaf
Kabupaten  Enrekang,Muslimin Bando,Asman
Kabupaten  Gowa,Adnan Purichta Ichsan,Abdul Rauf Malaganni
Kabupaten  Jeneponto,Iksan Iskandar,Paris Yasir
Kabupaten  Kepulauan Selayar,Muhammad Basli Ali,Saiful Arif
Kabupaten Luwu,Basmin Mattayang,Lowong
Kabupaten Luwu Timur,Budiman Hakim,Akbar Andi  Leluasa
Kabupaten Luwu Utara,Indah Putri Indriani,Suaib Mansur
Kabupaten Maros,Andi Syafril Chaidir Syam,Suhartina Bohari
Kabupaten Pangkajene dan Kepulauan,Muhammad Yusran Lalogau,Syahban Sammana
Kabupaten Pinrang,Andi Irwan Hamid,Alimin
Kabupaten Sidenreng Rappang,Dollah Mando,Mahfud Yusuf
Kabupaten Sinjai,T.R Fahsul Falah(Penjabat),
Kabupaten Soppeng,Andi Kaswadi Razak,Lutfi Halide
Kabupaten Takalar,Setiawan Aswad(Penjabat),
Kabupaten Tana Toraja,Theofilus Allorerung,Zadrak Tombeg
Kabupaten Toraja Utara,Yohanis Bassang,Frederik Victor Palimbong
Kabupaten Wajo,Amran Mahmud,Amran
Kota Makassar,Danny Pomanto,Lowong
Kota Parepare,Taufan Pawe,Pangerang Rahim
Kota Palopo,Asrul Sani(Penjabat),
