wilayah,bupati,wakil
Kabupaten Banggai,Amirudin Tamoreka,Furqanuddin Masulili
Kabupaten Banggai Kepulauan,Ihsan Basir(Penjabat),
Kabupaten Banggai Laut,Sofyan Kaepa,Ablit
Kabupaten Buol,Moh. Mukhlis(Penjabat),
Kabupaten Donggala,Kasman Lassa(Mengajukan pengunduran diri mengikuti pemilihan umum legislatif 2024),Mohammad Yasin
Kabupaten Morowali,Rachmansyah Ismail(Penjabat),
Kabupaten Morowali Utara,Delis Julkarson Hehi,Djira
Kabupaten Parigi Moutong,Richard Arnaldo Djanggola(Penjabat),
Kabupaten Poso,Verna Gladies Merry Inkiriwang,Yasin Mangun
Kabupaten Sigi,Mohamad Irwan Lapatta,Samuel Yansen Pongi
Kabupaten Tojo Una-Una,Mohammad Lahay,Ilham Lawidu
Kabupaten Tolitoli,Amran Hi. Yahya,Mohammad Besar Bantilan
Kota Palu,Hadianto Rasyid,Reny Lamadjido
