wilayah,bupati,wakil
Kabupaten Bombana,Burhanudin(Penjabat),
Kabupaten Buton,La Ode Mustari (Penjabat),
Kabupaten Buton Selatan,La Ode Budiman(Penjabat),
Kabupaten Buton Tengah,Andi Muhammad Yusuf(Penjabat),
Kabupaten Buton Utara,Ridwan Zakariah,Ahali
Kabupaten Kolaka,Ahmad Safei,Muhammad Jayadin
Kabupaten Kolaka Timur,Abdul Azis(Pelaksana tugas),Lowong
Kabupaten Kolaka Utara,Sukanto Toding(Penjabat),Lowong
Kabupaten Konawe,Harmin Ramba(Penjabat),
Kabupaten Konawe Kepulauan,Amrullah,Andi Muhammad Lutfi
Kabupaten Konawe Selatan,Surunuddin Dangga,Rasyid
Kabupaten Konawe Utara,Ruksamin,Abu Haera
Kabupaten Muna,Laode Muhammad Rusman Emba,Bachrun Labuta
Kabupaten Muna Barat,Bahri(Penjabat),
Kabupaten Wakatobi,Haliana,Ilmiati Daud
Kota Baubau,Muhammad Rasman Manafi(Penjabat),
Kota Kendari,Asmawa Tosepu(Penjabat),
