wilayah,bupati,wakil
Kabupaten Bolaang Mongondow,Limi Mokodompit(Penjabat),
Kabupaten Bolaang Mongondow Selatan,Iskandar Kamaru,Deddy Abdul Hamid
Kabupaten Bolaang Mongondow Timur,Sam Sachrul Mamonto,Oskar Manoppo
Kabupaten Bolaang Mongondow Utara,Sirajudin Lasena(Penjabat),
Kabupaten Kepulauan Sangihe,Rinny Tamuntuan(Penjabat),
Kabupaten Kepulauan Siau Tagulandang Biaro,Joi Oroh(Penjabat),
Kabupaten Kepulauan Talaud,Elly Engelbert Lasut,Moktar Arunde Parapaga
Kabupaten Minahasa,Jemmy Kumendong(Penjabat),
Kabupaten Minahasa Selatan,Franky Donny Wongkar,Petra Yani Rembang
Kabupaten Minahasa Tenggara,Ronald Sorongan(Penjabat),
Kabupaten Minahasa Utara,Joune Ganda,Kevin William Lotulung
Kota Bitung,Maurits Mantiri,Hengky Honandar
Kota Kotamobagu,Asripan Nani(Penjabat),
Kota Manado,Andrei Angouw,Richard Sualang
Kota Tomohon,Caroll Senduk,Wenny Lumentut
