wilayah,bupati,wakil
Kabupaten Agam,Andri Warman,Irwan Fikri
Kabupaten Dharmasraya,Sutan Riska Tuanku Kerajaan,Lowong(Wakil Bupati meninggal dunia)
Kabupaten Kepulauan Mentawai,Fernando Jongguran Simanjuntak(Penjabat),
"Kabupaten Lima Puluh Kota ",Safaruddin Datuak Bandaro Rajo,Rizki Kurniawan Nakasri
Kabupaten Padang Pariaman,Suhatri Bur,Rahmang
Kabupaten Pasaman,Benny Utama,Sabar AS
Kabupaten Pasaman Barat,Hamsuardi,Risnawanto
Kabupaten Pesisir Selatan,Rusma Yul Anwar,Rudi Hariyansyah
Kabupaten Sijunjung,Benny Dwifa Yuswir,Iraddatillah
Kabupaten Solok,Epyardi Asda,Jon Firman Pandu
Kabupaten Solok Selatan,Khairunas,Yulian Efi
Kabupaten Tanah Datar,Eka Putra,Richi Aprian
Kota Bukittinggi,Erman Safar,Marfendi
Kota Padang,Hendri Septa,Ekos Albar
Kota Padang Panjang,Sonny Budaya Putra(Penjabat),
Kota Pariaman,Roberia(Penjabat),
Kota Payakumbuh,Jasman Rizal(Penjabat),
Kota Sawahlunto,Zefnihan(Penjabat),
Kota Solok,Zul Elfian,Ramadhani Kirana Putra
