wilayah,bupati,wakil
Kabupaten Banyuasin,"Hani Sopiar Rustam
(Penjabat)",
Kabupaten Empat Lawang,"Fauzan Khoiri
(Penjabat)",
Kabupaten Lahat,Cik Ujang,Haryanto
Kabupaten Muara Enim,Ahmad Rizali(Penjabat),
Kabupaten Musi Banyuasin,Apriyadi Mahmud(Penjabat),
Kabupaten Musi Rawas,Ratna Machmud,Suwarti Burlian
Kabupaten Musi Rawas Utara,Devi Suhartoni,Innayatullah
Kabupaten Ogan Ilir,Panca Wijaya Akbar,Ardani
Kabupaten Ogan Komering Ilir,Iskandar,H.M. Dja'far Shodiq
Kabupaten Ogan Komering Ulu,Teddy Meilwansyah(Penjabat),
Kabupaten Ogan Komering Ulu Selatan,Popo Ali Martopo,Sholehien Abuasir
Kabupaten Ogan Komering Ulu Timur,Lanosin Hamzah,Adi Nugraha Purna Yudha
Kabupaten Penukal Abab Lematang Ilir,Heri Amalindo,Drs.Soemarjono
Kota Lubuklinggau,"Trisko Defriyansa
(Penjabat)",
Kota Pagar Alam,"Lusapta Kurnia Yudha
(Penjabat)",
Kota Palembang,"Ratu Dewa
(Penjabat)",
Kota Prabumulih,"Elman
(Penjabat)",
