wilayah,bupati,wakil
Kabupaten Asahan,Surya,Taufik Zainal Abidin
Kabupaten Batubara,Zahir,Oky Iqbal Frima
Kabupaten Dairi,Eddy Keleng Ate Berutu,Jimmy Andrea Lukita Sihombing
Kabupaten Deli Serdang,Ashari Tambunan,M. Ali Yusuf Siregar
Kabupaten Humbang Hasundutan,Dosmar Banjarnahor,Oloan Paniaran Nababan
Kabupaten Karo,Cory Sriwaty Sebayang,Theopilus Ginting
Kabupaten Labuhanbatu,Erik Adtrada Ritonga,Ellya Rosa Siregar
Kabupaten Labuhanbatu Selatan,Edimin,Ahmad Padli Tanjung
Kabupaten Labuhanbatu Utara,Hendri Yanto Sitorus,Samsul Tanjung
Kabupaten Langkat,Syah Afandin(Pelaksana Tugas),
Kabupaten Mandailing Natal,Jafar Nasution,Atikah Azmi Utammi
Kabupaten Nias,Ya'atulo Gulo,Arota Lase
Kabupaten Nias Barat,Khenoki Waruwu,Era Era Hia
Kabupaten Nias Selatan,Hilarius Duha,Firman Giawa
Kabupaten Nias Utara,Amizaro Waruwu,Yusman Zega
Kabupaten Padang Lawas,H. Ali Sutan Harahap,Ahmad Zarnawi Pasaribu
Kabupaten Padang Lawas Utara,Andar Amin Harahap,Hariro Harahap
Kabupaten Pakpak Bharat,Franc Bernhard Tumanggor,Mutsyuhito Solin
Kabupaten Samosir,Vandiko Timotius Gultom,Martua Sitanggang
Kabupaten Serdang Bedagai,Darma Wijaya,Adlin Umar Yusri Tambunan
Kabupaten Simalungun,Radiapoh Hasiholan Sinaga,Zonny Waldi
Kabupaten Tapanuli Selatan,Dolly Putra Parlindungan Pasaribu,Rasyid Assaf Dongoran
Kabupaten Tapanuli Tengah,Elfin Elyas Nainggolan(Penjabat),
Kabupaten Tapanuli Utara,Nikson Nababan,Sharlandy Hutabarat
Kabupaten Toba,Poltak Sitorus,Tonny M. Simanjuntak
Kota Binjai,Amir Hamzah,Rizky Yunanda Sitepu
Kota Gunungsitoli,Lakhomizaro Zebua,Sowa'a Laoli
Kota Medan,Bobby Nasution,Aulia Rachman
Kota Padangsidempuan,Letnan Dalimunthe(Penjabat),
Kota Pematangsiantar,Susanti Dewayani,Lowong
Kota Sibolga,Jamaluddin Pohan,Pantas Maruba Lumbantobing
Kota Tanjungbalai,Waris Thalib,
Kota Tebing Tinggi,Syarmadani(Penjabat),
