name,status
Jufri Hasanuddin," Mantan Bupati Aceh Barat Daya"
Muslizar," Mantan Wakil Bupati Aceh Barat Daya"
Abdurrahman Ubit," Ketua KPA wilayah Blangpidie"
Syarifuddin (Yoyong Ie Mirah)," Wakil Ketua DPRK Aceh Barat Daya"
Romi Syah Putra," Ketua DPC Partai Demokrat Abdya"
Safaruddin," Wakil Ketua DPR Aceh"
Muhammad Qudusi," Ketua PC PERTI Aceh Barat Daya"
Herry Sunanda," Wakil Bendahara DPA Partai Aceh"
Maidisal Diwa," Direktur Utama PT. Meuligoe Raya"
Mukhlis Muhdi," Sekretaris DPD II Golkar Aceh"
Said Syamsul Bahri," Mantan Ketua DPRK Aceh Barat Daya"
Erwanto," Mantan Wakil Bupati Aceh Barat Daya"
Zulkarnain," Ketua DPC PKB Aceh Barat Daya"
