name,status
Mawardi Ali," Mantan Bupati Aceh Besar"
Husaini A. Wahab," Mantan Wakil Bupati Aceh Besar"
Mukhlis Basyah," Mantan Bupati Aceh Besar"
Irwansyah (Tgk. Mukhsalmina)," Mantan Anggota DPR Aceh"
Musannif Sanusi," mantan Anggota DPR Aceh"
Muharram Idris," mantan Panglima GAM Aceh Rayeuk"
Saifuddin Yahya (Pak Cek)," Anggota DPR Aceh"
Ghufran Zainal Abidin," Mantan Ketua DPW PKS Aceh"
Illiza Sa'aduddin Djamal," Anggota DPR-RI"
Tgk Irawan Abdullah," Anggota DPR Aceh"
Muhibuddin Ucok," Ketua DPD Golkar Aceh Besar"
Iskandar Ali," Ketua DPRK Aceh Besar"
Tgk. Mufaddhal Zakaria," Ketua DPW PDA Aceh Besar"
Muchlis Zulkifli," Anggota DPR Aceh"
Irmansyah," Ketua DPW PNA Aceh Besar"
