name,status
I Ketut Suiasa," Wakil Bupati Badung"
I Putu Parwata MK," Ketua DPRD Kabupaten Badung"
I Wayan Suyasa," Wakil Ketua I DPRD Kabupaten Badung"
I Bagus Alit Sucipta," Anggota DPRD Bali"
I Wayan Rawan Atmaja," Anggota DPRD Bali"
I Gusti Ngurah Kesuma Kelakan," Anggota DPR RI"
I Wayan Adi Arnawa," Sekretaris Daerah (Sekda) Badung"
I Wayan Diesel Astawa," Anggota DPRD Kabupaten Badung"
I Gusti Ayu Agung Inda Trimafo Yudha," Anggota DPRD Kabupaten Badung"
I Gusti Anom Gumanti," Ketua Fraksi PDI Perjuangan"
