name,status
Adde Rosi Khoerunnisa," Anggota DPR-RI"
Mochamad Hasbi Asyidiki Jayabaya," Anggota DPR-RI"
Mochammad Farid Darmawan," Suami Iti Octavia Jayabaya"
Ade Sumardi," Wakil Bupati Lebak"
Vivi Sumantri Jayabaya," Mantan Anggota DPR-RI"
Junaedi Ibnu Jarta," Wakil Ketua DPRD Lebak"
Ade Hidayat," Ketua DPC Partai Gerindra Kabupaten Lebak"
Iip Makmur," Ketua DPD PKS Kabupaten Lebak"
Suparman," Ketua DPD Golkar Kabupaten Lebak"
Oong Syahroni," Anggota DPRD Banten"
Mochamad Nabil Jayabaya," Pengusaha"
