name,status
Andika Hazrumy," Mantan Wakil Gubernur Banten"
Ananda Trianh Salichan," Ketua Umum BPD Himpi Banten"
Wahyu Papat Juni Romadonia," Mantan Anggota DPRD Kota Serang"
Ranta Soeharta," Mantan Sekretaris Daerah (Sekda) Banten"
Subarkah Purbo Asmoro," Ketua DPW Partai Ummat Prov. Banten"
Najib Hamas," Sekretaris MPW PKS Banten"
Nasrul Ulum," Mantan Cabup 2020"
Badri Sutyadi," Anggota DPRD Kab. Serang"
Agus Wahyudiono," Ketua DPD PKS Kab. Serang"
Mansur," Anggota DPRD Kab. Serang"
Sopwan," Anggota DPRD Banten"
