name,status
Ratu Ria Maryana," Wakil Ketua DPRD Kota Serang"
Syafrudin Syafe'i," Wali Kota Serang"
Subadri Ushuludin," Wakil Wali Kota Serang"
Ari Chaeruddin," adik tiri Ratu Atut Chosiyah"
Bambang Chaeruman," adik tiri Ratu Atut Chosiyah"
Udrasengsana," putra mantan Wali Kota Serang Haerul Jaman"
Furtasan Ali Yusuf," Anggota DPRD Banten"
Nur'aeni," Anggota DPR-RI"
Budi Rustandi," Ketua DPRD Kota Serang"
Tb.Ridwan Akhmad," Anggota DPRD Kota Serang"
Roni Alfanto," Anggota DPRD Kota Serang"
