name,status
Sudirman Zaini," Mantan Bupati Bungo 2011-2016"
Ria Mayang Sari," Anggota DPD RI"
Sapriadi," Purnawirawan TNI-AD"
Muhammad Syafi'i," Purnawirawan Perwira Tinggi Polri"
Safrudin Dwi Apriyanto," Wakil Bupati Bungo"
Verawaty Mashuri," Ketua TP PKK Kab Bungo dan Istri Bupati Bungo"
Muhammad Harrifar Syafar," Ajudan Pribadi Menhan"
Eko Putra Hoessin Saad," Mantan Kadis LH Kab Bungo dan Anak Mantan Bupati Bungo Tebo"
Riduwan Ibrahim," Pengusaha dan Adik Ipar Mantan Gubernur Jambi"
Jumiwan Aguza," Wakil Ketua I DPRD Bungo"
