name,status
Masnah Busro," Mantan Bupati Muaro Jambi 2017-2022"
Bambang Bayu Suseno," Mantan Wakil Bupati Muaro Jambi 2017-2022"
Kemas Muhammad Fuad," Mantan Wakil Bupati Muaro Jambi 2011-2016"
Bachyuni Deliansyah," Pj Bupati Muaro Jambi"
Ivan Wirata," Anggota DPRD Prov Jambi"
Agustian Mahir," Wakil Ketua DPRD Muaro Jambi dan Adik Mantan Bupati Muaro Jambi"
Yuli Setia Bakti," Ketua DPRD Muaro Jambi"
Ahmad Haikal," Wakil Ketua DPRD Muaro Jambi"
Abun Yani," Anggota DPRD Prov Jambi"
Raden Fauzi," Anggota DPRD Prov Jambi"
Kamaludin Havis," Anggota DPRD Prov Jambi"
