name,status
Hilallatil Badri," Mantan Wakil Bupati Sarolangun 2017-2022"
Edi Purwanto," Ketua DPRD Provinsi Jambi"
Tontawi Jauhari," Ketua DPRD Sarolangun"
Pahrul Rozi," Mantan Wakil Bupati Sarolangun 2011-2016"
M Fauzi," Kepala Dinas PUPR Provinsi Jambi"
Cik Marleni," Anggota DPRD Sarolangun dan Adik Mantan Bupati Sarolangun"
Nur Muhammad Agus," Pengusaha dan Adik Mantan Gubernur Jambi"
Hapis Hasbiallah," Anggota DPRD Prov Jambi"
Aang Purnama," Wakil Ketua I DPRD Sarolangun"
Muhammad Syaihu," Anggota DPRD Sarolangun"
Hurmin," Anggota DPRD Sarolangun"
Endang Abdul Naser," Mantan Sekda Kabupaten Sarolangun"
