name,status
Maulana," Wakil Wali Kota Jambi"
Sum Indra," Anggota DPD-RI"
Edi Purwanto," Ketua DPRD Prov. Jambi"
Mursida Juni," Camat Pasar Kota Jambi"
Budi Setiawan," Ketua Umum KONI Provinsi Jambi"
Abdul Rahman," Ketua Bappilu DPW Partai Nasdem Prov. Jambi"
Rocky Candra," mantan Wakil Ketua DPRD Prov. Jambi"
Putra Absor Hasibuan," Ketua DPRD Kota Jambi"
Roro Nully Kurniasih Kawuri," Wakil Ketua DPRD Kota Jambi"
Kemas Alfarabi," Anggota DPRD Prov. Jambi"
Kemas Faried Alfarelly," Anggota DPRD Kota Jambi"
