name,status
Akhmad Marjuki," mantan Wakil Bupati Bekasi"
Darip Mulyana," mantan Wakil Bupati Bekasi"
Obon Tabroni," Anggota DPR-RI"
Rieke Diah Pitaloka," Anggota DPR-RI"
Tuti Nurcholifah Yasin Sekretaris DPD Partai Golkar Kab. Bekasi,
Daeng Muhammad," Anggota DPR-RI"
Almaida Rosa Putra," Anggota DPRD Prov. Jabar"
Asep Surya Atmaja," Anggota DPRD Kab. Bekasi"
Ayub Rohadi," Anggota DPRD Kab. Bekasi"
Mohammad Nuh.," Wakil Ketua DPRD Kab. Bekasi"
BN Holik Qodratullah," Ketua DPRD Kab. Bekasi"
Aria Dwi Nugraha," Ketua DPC Gerindra Kab. Bekasi"
Dani Ramdan," Pjs. Bupati Bekasi"
Ade Kuswara Kunang," Wakil Ketua Komisi 2 DPRD Kab. Bekasi Fraksi PDI Perjuangan "
Heri Noviar," Ketua Kamar Dagang dan Industri Kabupaten Bekasi "
