name,status
Tedy Rusmawan," Ketua DPRD Kota Bandung"
Ayi Vivananda," Mantan Wakil Wali Kota Bandung"
Andri Rusmana," Ketua Badan Kehormatan Dewan Kota Bandung"
Umuh Muchtar," Manajer Persib Bandung"
Isa Subagja," Anggota DPRD Kota Bandung"
Achmad Nugraha," Wakil Ketua DPRD Kota Bandung"
Nu'man Abdul Hakim," Mantan Wakil Gubernur Jawa Barat"
Erwin," Ketua DPC PKB Bandung.[2]"
Atalia Praratya," istri Ridwan Kamil"
Nurul Arifin," Anggota DPR RI dan mantan selebriti.[4]"
Budi Dalton[4],
Raffi Ahmad[4],
M Farhan[4],
Siti Muntamah," Anggota DPRD Jawa Barat"
