name,status
Tri Adhianto Tjahyono," Wali Kota Bekasi"
Anim Imamuddin," Wakil Ketua DPRD Kota Bekasi"
Arif Rahman Hakim.," Anggota DPRD Kota Bekasi"
Lilis Nurlia," Anggota DPRD Kota Bekasi"
Edi," Wakil Ketua DPRD Kota Bekasi"
Heri Koswara," Anggota DPRD Prov. Jabar"
Abdul Harris Bobihoe," Anggota DPRD Prov. Jabar"
Ade Puspitasari," Anggota DPRD Prov. Jabar"
Choiruman J Putro," Anggota DPRD Kota Bekasi"
Abdul Muin Hafied," Anggota DPRD Kota Bekasi"
Koswara Hanafi," Kepala Dinas Perhubungan Provinsi Jawa Barat"
Abdul Rosyad Irwan," Ketua KONI Kota Bekasi"
Wasis Ginanjar," Ketua HIPAKI JABODETABEK"
