name,status
Syamsudin," Mantan Plh. Bupati Banjarnegara"
Wahyu Kristianto," Mantan Anggota DPRD Jateng"
Lasmi Indaryani," Anggota DPR RI"
Ismawan Setya Handoko," Ketua DPRD Banjarnegara"
Amalia Desiana," Anggota DPRD Banjarnegara"
Edy Purwanto," Wakil Ketua DPRD Banjarnegara"
Amin Makhsum," Anggota DPRD Jateng"
Tri Mulyantoro," Anggota DPRD Jateng"
Wakhid Jumali," Anggota DPRD Jateng"
Arif Budi Waluyo," Wakil Ketua DPRD Banjarnegara"
Bawono," Anggota DPRD Banjarnegara"
Wahono," Bupati Forum Rembug Banjarnegara"
Warso," Owner d'Bantar Bamboo Craft"
