name,status
Wihaji," Mantan Bupati Batang"
Suyono," Mantan Wakil Bupati Batang"
Mohammad Saleh.," Anggota DPRD Jateng"
Lafran Pancaputranto," Mantan Cabup Batang 2017"
Yoyok Riyo Sudibyo," Mantan Bupati Batang"
Lani Dwi Rejeki," Pj. Bupati Batang"
Maulana Yusup," Ketua DPRD Kab. Batang"
Junaenah," Wakil Ketua I DPRD Kab. Batang"
Nur Untung Slamet," Wakil Ketua II DPRD Kab. Batang"
Taufik Hidayat," Ketua DPC Gerindra Kabupaten Batang"
Ahmad Ridwan," Anggota DPRD Jateng"
Prih Budi Aryatmoko," Politisi PDIP"
Marlinda Irwanti," Rektor Universitas Sahid Jakarta"
Toni Triyanto," Advokat"
Fauzi Fallas," Ketua DPC PKB Batang"
