name,status
Arief Rohman," Bupati Blora"
Tri Yuli Setyowati," Wakil Bupati Blora"
Umi Kulsum Djoko Nugroho," Mantan Ketua TP PKK Kabupaten Blora"
Abu Nafi," Anggota DPRD Jateng"
M. Dasum," Ketua DPRD Kab. Blora"
Prayogo Nugroho," Anggota DPRD Jateng"
Edy Harsono," Mantan Ketua DPC Hanura Blora"
Sri Sudarmini," Ketua DPD NasDem Kabupaten Blora"
Muhammad Ahmad Faishol," Anggota DPRD Kab. Blora"
H. Mustopa," Wakil Ketua I DPRD Kab. Blora"
Ahmad Labib Hilmy," Anggota DPRD Kab. Blora"
Abdul Hakim," Ketua DPC PKB Kabupaten Blora"
Sri Enik Kusmanto," Pengusaha"
