name,status
Narjo," Mantan Wakil Bupati Brebes"
Ikmal Jaya," Mantan Wali Kota Tegal"
Paramitha Widya Kusuma," Anggota DPR RI"
Suswono," Mantan Menteri Pertanian Indonesia"
Agung Widiyantoro," Anggota DPR RI"
Joko Hariyanto," Anggota DPRD Jateng"
Wahyudin Noor Aly," Anggota DPRD Jateng"
Masfui Masduki," Anggota DPRD Jateng"
Illia Amin," Anggota DPRD Brebes"
Mokhamad Taufiq," Ketua DPRD Brebes"
Teguh Wahid Turmudi," Wakil Ketua DPRD Brebes"
Sholahudin Masruri," Ketua PCNU Kabupaten Brebes"
