name,status
Syamsul Aulia Rachman," Mantan Wakil Bupati Cilacap"
Teti Rohatiningsih," Anggota DPR RI"
Taufik Nurhidayat," Ketua DPRD Cilacap"
Akhmad Edi Susanto," Mantan Wakil Bupati Cilacap"
Novita Wijayanti," Anggota DPR RI"
Taswan," Mantan Ketua DPRD Cilacap"
Tietha Ernawati Suwarto," Putri Mantan Bupati Cilacap Tatto Suwarto Pamuji"
Ammy Amalia Fatma Surya," Mantan Anggota DPR RI"
Achmad Mustaqim," Mantan Anggota DPR RI"
Mustolih," Anggota DPRD Jateng"
Siti Rosidah," Anggota DPRD Jateng"
Saiful Musta’in," Wakil Ketua DPRD Cilacap"
Dedi Susanto," Anggota DPRD Cilacap"
Purwati," Wakil Ketua DPRD Cilacap"
Sindy Syakir," Wakil Ketua DPRD Cilacap"
