name,status
Eisti'anah," Bupati Demak"
Ali Makhsun," Wakil Bupati Demak"
Mugiyono," Mantan Anggota DPRD Jateng"
Badruddin Ma'shum," Putra KH. Ma’shum Mahfudhi"
Zenal Mubarok," Putra Mantan Bupati Demak HM. Natsir"
Joko Sutanto," Mantan Wakil Bupati Demak"
Fathan Subchi," Anggota DPR RI"
Nur Sa'adah," Anggota DPRD Jateng"
Sugeng Ibrahim," Wakil Ketua Bidang Kesehatan Nasdem Jateng"
Nurul Muttaqin," Mantan Ketua DPRD Kab. Demak"
Sri Fahrudin Bisri Slamet," Ketua DPRD Kab. Demak"
Zayinul Fata," Wakil Ketua I DPRD Kab. Demak"
Muntohar," Anggota DPRD Kab. Demak"
Ike Chandra Agustina," Anggota DPRD Kab. Demak"
Budhi Achmadi.," Ketua DPD NasDem Kabupaten Demak"
Maskuri," Wakil Ketua II DPRD Kab. Demak"
Edi Sayudi," Anggota DPRD Kab. Demak"
Teguh Sapto Utomo," Pengusaha"
Muhammad Agil Nuruz Zaman," Ketua Umum PP IPNU"
