name,status
Arif Sugiyanto," Bupati Kebumen"
Ristawati Purwaningsih," Wakil Bupati Kebumen"
Yazid Mahfudz," Mantan Bupati Kebumen 2019-21"
Buyar Winarso," Mantan Bupati Kebumen 2010-15"
Eno Syafrudien," Politisi PPP"
Agus Septadi," Mantan Kabag Humas DPRD Kebumen"
Herwin Kunadi," Pengusaha"
Saeful Hadi," Anggota DPRD Jateng"
Ahmad Ujang Sugiono," Mantan Sekretaris Daerah Kabupaten Kebumen"
Fuad Wahyudi," Wakil Ketua I DPRD Kabupaten Kebumen"
Agung Prabowo," Wakil Ketua II DPRD Kabupaten Kebumen"
Halimah Nurhayati," Ketua DPD Golkar Kabupaten Kebumen"
Zaeni Miftah," Ketua DPC PKB Kabupaten Kebumen"
