name,status
Dico Ganinduto," Bupati Kendal"
Windu Suko Basuki," Wakil Bupati Kendal"
Ali Nuruddin," Ketua Dewan Syuro DPC PKB Kendal"
Mirna Anissa," Mantan Bupati Kendal 2015-20"
Widya Kandi Susanti," Mantan Bupati Kendal 2010-15"
Alamuddin Dimyati Rois," Anggota DPR RI"
Benny Karnadi," Anggota DPRD Jateng"
Mifta Reza N.P.," Anggota DPRD Jateng"
Murdoko," Mantan Ketua DPRD Jateng"
Muhammad Makmun," Ketua DPRD Kabupaten Kendal"
Akhmat Suyuti," Wakil Ketua I DPRD Kabupaten Kendal"
Prapto Utono," Mantan Ketua DPRD Kabupaten Kendal"
Falah Yoga Pratama," Putra Mantan Bupati Kendal Hendy Boedoro"
