name,status
Edi Cahyana," Wakil Bupati Magelang"
Zaenal Arifin," Mantan Wakil Bupati Magelang"
Rohadi Pratoto," Mantan Kepala Badan Perencanaan Pembangunan Daerah Kab. Magelang"
Sukardiyono," Anggota DPRD Jateng"
Christanti Handayani," Ketua TP PKK Kabupaten Magelang"
Endrianingsih Yunita," Anggota DPRD Jateng"
Soenarno," Anggota DPRD Jateng"
Saryan Adiyanto," Ketua DPRD Kabupaten Magelang"
Soeharno," Wakil Ketua II DPRD Kabupaten Magelang"
Muhammad Sholeh Nurcholis," Wakil Ketua III DPRD Kabupaten Magelang"
Grengseng Pamuji," Anggota DPRD Kabupaten Magelang"
Abdul Aziz," Ketua DPD PKS Kabupaten Magelang"
