name,status
Fadia A. Rafiq," Bupati Pekalongan"
Riswadi," Wakil Bupati Pekalongan"
Asip Kholbihi," Mantan Bupati Pekalongan"
Bisri Romly," Anggota DPR RI"
Sukirman," Wakil Ketua I DPRD Jateng"
Hindun," Ketua DPRD Kabupaten Pekalongan"
Candra Saputra," Anggota DPRD Kabupaten Pekalongan"
Catur Ardiansah," Wakil Ketua III DPRD Kabupaten Pekalongan"
Mirza Kholik," Ketua DPC PPP Kabupaten Pekalongan"
Abdul Khamid," Mantan Kepala Desa Waru Lor"
M. Azmi Fahmi," Mantan Ketua PC GP Ansor Kabupaten Pekalongan"
K.H. Sabilal Rosyad," Pengasuh ponpes Al-Qutub"
Musa Adam," Anggota DPRD Kabupaten Pekalongan"
Mukaromah Syakoer," Mantan Sekretaris Daerah Kabupaten Pekalongan"
