name,status
RM Nurhidayat Hanyokrokusumo," Wakil Ketua Bidang Antar Lembaga AKKI Asosiasi Kesultanan Keraton Indonesia"
Mansur Hidayat," Plt Bupati Pemalang"
Agus Sukoco," Mantan Ketua DPRD Kabupaten Pemalang"
Iskandar Ali Syahbana," Ketua Kadin Kabupaten Pemalang"
Eko Priyono," Pengusaha"
Lukman Khakim," Ketua Umum DPP FKDT"
Sikma Rejik Martino," Mantan Ketua DPC HIPMI Kabupaten Pemalang"
Syamsalis," Pendiri Sabana Fried Chicken"
Irna Setiawati," Anggota DPRD Jateng"
Ajeng Triyani," Wakil Ketua I DPRD Kabupaten Pemalang"
M. Rois Faisal M.S," Wakil Ketua III DPRD Kabupaten Pemalang"
Fahmi Hakim," Anggota DPRD Kabupaten Pemalang"
Khalawi Abdul Hamid," Direktorat Jenderal Penyediaan Perumahan"
