name,status
Dyah Hayuning Pratiwi," Bupati Purbalingga"
Sudono," Wakil Bupati Purbalingga"
Muhammad Sulhan Fauzi," Mantan Wakil Ketua Komite Bidang Konstruksi dan Infrastruktur Kadin"
Zaini Makarim," Adik ipar Gubernur Jawa Tengah Ganjar Pranowo"
Erny Widyawati," Mantan Ketua Tim Penggerak PKK Purbalingga"
Tenny Juliawati," Wakil Ketua II DPRD Kabupaten Purbalingga"
Adi Yuwono," Wakil Ketua III DPRD Kabupaten Purbalingga"
Aman Waliyudin," Wakil Ketua I DPRD Kabupaten Purbalingga"
Ken Ragil Turyono," Wasekjen DPP Partai Perindo"
Rofik Hananto," Anggota DPR RI"
Irjen. Pol. (Purn.) Drs. Umar Septono," Mantan Wakil Inspektur Pengawasan Umum Polri"
Karsono," Politisi PKS"
