name,status
Yuli Hastuti," Wakil Bupati Purworejo"
Kuswanto," Mantan Kepala Bagian Keuangan Universitas Pertahanan Indonesia"
Agustinus Susanto," Mantan perwira Kopassus"
Hamdan Azhari," Ketua DPC Gerindra Kabupaten Purworejo"
Fatimah Verena Prihastyari," Ketua TP PKK Kabupaten Purworejo"
Imam Teguh Purnomo," Anggota DPRD Jateng"
Dion Agasi Setiabudi," Ketua DPRD Kabupaten Purworejo"
Fran Suharmaji," Wakil Ketua III DPRD Kabupaten Purworejo"
Eko Januar Susanto," Ketua DPD NasDem Kabupaten Purworejo"
Yophi Prabowo," Wakil Ketua II DPRD Kabupaten Purworejo"
R. Sigit Widodo Nugrohadi," Birokrasi"
Siti Maryam," Kepala Desa Wonoroto Kecamatan Purworejo"
Luhur Pambudi Mulyono," Anggota DPRD Kabupaten Purworejo"
