name,status
Mohni," Plt. Bupati Bangkalan"
Farid Al Fauzi," Mantan Anggota DPR RI"
Imam Buchori Cholil," Pengasuh Pondok Pesantren (Ponpes) Ibnu Cholil Bangkalan"
Syafiuddin," Anggota DPR RI"
Imron Amin," Anggota DPR RI"
Hasani Bin Zuber," Anggota DPR RI"
Mahhud," Anggota DPRD Jatim"
Mohammad Nasih Aschal," Anggota DPRD Jatim"
Mondir Rofi'i," Mantan Wakil Bupati Bangkalan"
Muhammad Fahad," Ketua DPRD Kabupaten Bangkalan"
Fatkhurrahman," Wakil Ketua I DPRD Kabupaten Bangkalan"
Nur Hasan," Anggota DPRD Kabupaten Bangkalan"
Zhavira Ayu Ratri Aldania," Ketua BPC Hipmi Kabupaten Bangkalan"
RKH Muhammad Makki Nasir," Ketua PCNU Kabupaten Bangkalan"
