name,status
Rini Syarifah," Bupati Blitar"
Rahmat Santoso," Wakil Bupati Blitar"
Marhaenis Urip Widodo," Mantan Wakil Bupati Blitar"
Wima Brahmantya," Mantan Ketua Umum HKTI Kabupaten Blitar"
Suwito Saren Satoto," Ketua DPRD Kabupaten Blitar"
Heri Romadhon," Anggota DPRD Jatim"
Anik Wahjuningsih," Anggota DPRD Kabupaten Blitar"
Susi Narulita K. D.," Wakil Ketua II DPRD Kabupaten Blitar"
Bambang Rianto," Anggota DPRD Jatim"
Endro Hermono," Anggota DPR RI"
Komjen Pol. (Purn.) Dr. Anang Iskandar," Mantan Kepala Badan Reserse Kriminal Polri"
Ferdians Reza Alvisa," Anggota DPRD Jatim"
Erma Susanti," Anggota DPRD Jatim"
Nurhadi," Anggota DPR RI"
Tugas Naggolo Yudo Dili Prasetiono," Ketua Ormas Rakyat Djelata (RaDja) Blitar Raya"
Tomi Gandhi," Pengusaha"
