name,status
Fandi Akhmad Yani," Bupati Gresik"
Aminatun Habibah," Daftar Wakil Bupati Gresik"
Mohammad Qosim," Mantan Wakil Bupati Gresik"
Thoriq Majiddanor," Putra Sambari Halim Radianto/Mantan Bupati Gresik"
Khilmi," Anggota DPR RI"
Ufiq Zuroida," Anggota DPRD Jatim"
Ahmad Iwan Zunaih," Anggota DPRD Jatim"
Wongso Negoro," Anggota DPRD Kabupaten Gresik"
Asluchul Alif," Mantan Wakil Ketua DPRD Kabupaten Gresik"
Ahmad Nurhamim," [[Wakil Ketua II DPRD Kabupaten Gresik]]"
Muhammad Abdul Qodir," Ketua DPC PKB Kabupaten Gresik"
