name,status
Mundjidah Wahab," Bupati Jombang"
Sumrambah," Wakil Bupati Jombang"
M. Subaidi," Mantan Ketua DPRD Jombang"
Sadarestuwati," Anggota DPR RI"
Ema Umiyyatul Chusnah," Anggota DPR RI"
Ahmad Silahuddin," Anggota DPRD Jatim"
Kuswanto," Anggota DPRD Jatim"
Ali Fikri," Mantan Wakil Bupati Jombang"
Mas'ud Zuremi," Ketua DPRD Jombang"
Erna Kuswati," Anggota DPRD Jombang"
Donny Anggun," Wakil Ketua DPRD Jombang"
Fatchur Rohman," Ketua DPC PAPDESI"
Mohammad Syarif Hidayatulloh," Anggota DPRD Jombang"
Ahmad Athoillah," Anggota DPRD Jatim"
