name,status
Hanindhito Himawan Pramana," Bupati Kediri"
Dewi Mariya Ulfa," Wakil Bupati Kediri"
Ari Purnomo Adi," Ketua Forum Pengurangan Resiko Bencana Kabupaten Kediri"
An’im Falachuddin Mahrus," Anggota DPR RI"
Sudjono Teguh Widjaja," Ketua DPD Golkar Kota Kediri"
A. Basuki Babussalam," Anggota DPRD Jatim"
Subianto," Anggota DPRD Jatim"
Sulkani," Anggota DPRD Kabupaten Kediri"
Sentot Djamaludin," Wakil Ketua I DPRD Kabupaten Kediri"
Agus Ferry Chusnul Ma'ab," Putra KH Agus Sabuth Panoto Projo"
Adi Suwono," Ketua DPD Nasdem Kota Kediri"
Yekti Murih Wiyati," Pengusaha"
Rahmadi Yogianto," Ketua Kadin Kabupaten Kediri"
Dede Sujana," Ketua PMI Kabupaten Kediri"
