name,status
Yuhronur Efendi," Bupati Lamongan"
Abdul Rouf," Wakil Bupati Lamongan"
Suhandoyo," Mantan Anggota DPRD Jatim"
Nasyirul Falah Amru," Anggota DPR RI"
Debby Kurniawan," Anggota DPR RI"
Okta Rosadinata," Mantan Anggota DPRD Kabupaten Lamongan"
M.I. Andy Firasadi," Mantan Anggota DPRD Jatim"
Edy Wijaya," Politisi Nasdem"
Amar Saifudin," Anggota DPRD Jatim"
Wahid Wahyudi," Kepala Dinas Pendidikan Jawa Timur"
Abdul Ghofur," Ketua DPRD Kabupaten Lamongan"
Moh Nalikan," Sekda Kabupaten Lamongan"
Fujika Senna Oktavia," Bendahara DPC PDI Perjuangan Kabupaten Lamongan"
Afif Hasbullah," Ketua Komisi Pengawas Persaingan Usaha RI"
Nurul Hidayatul Ummah," Mantan Ketua Umum Pimpinan Pusat Ikatan Pelajar Putri Nahdlatul Ulama"
K.H. Biin Abdussalam," Mantan Ketua PCNU Kabupaten Lamongan"
Kaharudin," Ketua DPC Partai NasDem Kabupaten Lamongan"
Sholahuddin," Asisten pribadi Wakil Presiden RI Ma’ruf Amin"
