name,status
Abdul Mujib Imron," Wakil Bupati Pasuruan"
M. Sudiono Fauzan," Ketua DPRD Kab. Pasuruan"
Samsul Hidayat," Anggota DPRD Kab. Pasuruan"
Mufti A.N. Anam," Anggota DPR RI"
Mochamad Rusdi Sutejo," Wakil Ketua II Ketua DPRD Kab. Pasuruan"
Lulis Irsyad Yusuf," Ketua TP PKK Kabupaten Pasuruan"
Andri Wahyudi," Wakil Ketua I Ketua DPRD Kab. Pasuruan"
Muhammad Zaini," Anggota DPRD Kab. Pasuruan"
Kelana Aprilianto," Ketua DPD PKN Jatim"
Aida Fitriati," Anggota DPRD Jatim"
Anwar Sadad," Anggota DPRD Jatim"
Rohani Siswanto," Anggota DPRD Jatim"
Eddy Paripurna," Anggota DPRD Jatim"
Gus Hamzah Pujiono,
