name,status
Timbul Prihanjoko," [Plt. Bupati Probolinggo"
Abdul Malik Haramain," Mantan Anggota DPR RI"
Mustofa Assegaf," Mantan Anggota DPR RI"
Muchlis," Mantan Ketua Ansor Kabupaten Probolinggo"
Mahdi," Anggota DPRD Jatim"
Zulmi Noor Hasani," Putra Mantan Bupati Probolinggo Puput Tantriana Sari"
Salim Qurays," Mantan Wakil Bupati Probolinggo"
Faisol Reza," Anggota DPR RI"
Abdul Hamid Wahid," Mantan Anggota DPR RI"
Muhammad Haris," Pengusaha"
Lukman Hakim," Wakil I Ketua DPRD Kab. Probolinggo"
Oka Mahendra Jati Kusuma," Wakil II Ketua DPRD Kab. Probolinggo"
Andi Suryanto Wibowo," Ketua DPRD Kab. Probolinggo"
Mohammad Amin Haddar," Anggota DPRD Kab. Probolinggo"
Achmad Seruji Bahtiar," Kepala Kemenag Kabupaten Jember"
