name,status
Slamet Junaidi," Bupati Sampang"
Abdullah Hidayat," Wakil Bupati Sampang"
Hermanto Subaidi," Mantan Cabup Sampang 2018"
Slamet Ariyadi," Anggota DPR RI"
Hadi Sumitro," Mantan Anggota DPRD Jatim"
Muhammad Bin Muafi Zaini," Anggota DPRD Jatim"
Mohammad Ashari," Anggota DPRD Jatim"
Masfufah," Ketua DPD Perindo Sampang"
Mohammad Faruk," Anggota DPRD Sampang"
Toipul Minan," Anggota DPRD Sampang"
Fadol," Ketua DPRD Sampang"
Itqom Bushiri," Ketua PCNU Sampang"
Pardi," Kepala Kemenag Sampang"
Gus Khoiron Zaini," Mantan Ketua PC GP Ansor Sampang"
