name,status
Sutiaji," Wali Kota Malang"
Sofyan Edi Jarwoko," Wakil Wali Kota Malang"
Mochamad Anton," Mantan Wali Kota Malang"
Dewanti Rumpoko," Mantan Wali Kota Batu"
Ya'qud Ananda Gudban," Mantan Anggota DPRD Kota Malang"
Sri Untari Bisowarno," Anggota DPRD Jatim"
I Made Riandiana Kartika," Ketua DPRD Kota Malang"
Ahmad Wanedi," Anggota DPRD Kota Malang"
Abdurrohman," Wakil Ketua I DPRD Kota Malang"
Asmualik," Wakil Ketua II DPRD Kota Malang"
Moreno Soeprapto," Anggota DPR RI"
Rimzah Zubair," Wakil Ketua III DPRD Kota Malang"
Wibi Dwi Andreas," Pengusaha"
Amithya Ratnanggani," Anggota DPRD Kota Malang"
