name,status
Farhan," Wakil Bupati Ketapang"
Jamhuri Amir," Wakil Ketua III DPRD Kab. Ketapang"
Junaidi," Anggota DPRD Kab. Ketapang"
Muhammad Febriadi," Ketua DPRD Kab. Ketapang"
Mathoji," Wakil Ketua II DPRD Kab. Ketapang"
Boyman Harun," Anggota DPR RI"
Heronimus," Anggota DPRD Kalbar"
Thomas Aleksander," Anggota DPRD Kalbar"
A. Alibata," Politisi PDIP"
Suma Jenny Heryanti," Anggota DPRD Kalbar"
Henrikus," Mantan Bupati Ketapang"
Suprapto," Wakil Ketua I DPRD Kab. Ketapang"
Antoni Salim," Anggota DPRD Kab. Ketapang"
Gusti Kamboja," Ketua TP3D Kabupaten Ketapang"
Leonardus Rantan," Sekretaris DPD Golkar Ketapang"
Irvan Marsyad," Mantan Anggota DPRD Kalbar"
