name,status
Sujiwo," Wakil Bupati Kubu Raya"
Hamzah Tawil," Mantan Cabup Kubu Raya 2018"
Rusman Ali," Mantan Bupati Kubu Raya"
Yoga Irawan," Anggota DPRD Kubu Raya"
M. Amri," Ketua Fraksi PKS Kubu Raya"
Benny Farianto," Anggota DPRD Kubu Raya"
Syarif Amin Muhammad," Wakil Ketua II DPRD Kalbar"
Agus Sudarmansyah," Ketua Anggota DPRD Kubu Raya"
H. Alifudin," Anggota DPR RI"
Nofal Nofiendra," Bendahara DPD Partai Gerindra Kalbar"
Syarif Abdullah Alkadrie," Anggota DPR RI"
Suharso.," Wakil Ketua III Anggota DPRD Kubu Raya"
Rosalina Muda Mahendrawan," Ketua TP PKK Kubu Raya"
Ardiansyah.," Anggota DPRD Kalbar"
Yusran Anizam," Sekda Kubu Raya"
