name,status
Yohanes Ontot," Wakil Bupati Sanggau"
Yansen Akun Effendy," Mantan Bupati Sanggau"
Arita Apolina," Ketua TP PKK Kabupaten Sanggau"
Moses Hermanus Munsin," Mantan Pj Bupati Sanggau"
Krisantus Kurniawan," Anggota DPR RI"
Martinus Sudarno," Anggota DPRD Kalbar"
Linda Ango," Ketua DPW Srikandi PP Kalbar"
Fransiskus Ason," Anggota DPRD Kalbar"
Usman.," Mantan Wakil Ketua DPRD Sanggau"
Marten Luter," Anggota DPRD Kalbar"
Jumadi," Ketua DPRD Sanggau"
Timotius Yance," Wakil Ketua DPRD Sanggau"
Robby Sugianto," Anggota DPRD Sanggau"
Acam," Wakil Ketua DPRD Sanggau"
Rakhmad Mulyadi," Birokrasi"
