name,status
Sukamta," Bupati Tanah Laut"
Abdi Rahman," Wakil Bupati Tanah Laut"
Bambang Alamsyah," Mantan Bupati Tanah Laut"
Mariana," Wakil Ketua II DPRD Kalsel"
Imam Kanapi," Anggota DPRD Kalsel"
Muslimin.," Ketua DPRD Tanah Laut"
Rahimullah," Wakil Ketua II DPRD Tanah Laut"
Khairil Anwar.," Anggota DPRD Tanah Laut"
Dahnial Kifli MAP," Sekda Kabupaten Tanah Laut"
H Muhammad Noor/H. Nurdin," Ketua DPC PDI Perjuangan Tanah Laut"
Endang Isnawangsih," Anggota DPRD Tanah Laut"
Syahrian Nurdin," Kepala Dinas Koperasi"
