name,status
Khairul," Wali Kota Tarakan"
Effendi Djuprianto," Wakil Wali Kota Tarakan"
Umi Suhartini," Mantan Ketua TP PKK Kabupaten Tana Tidung"
Sofian Raga," Mantan Wali Kota Tarakan"
Ince A. Rifai," Ketua Dewan Pakar DPW KKSS Kaltara"
Yusuf Ramlan," Ketua MPW Pemuda Pancasila Kaltara"
Khaeruddin Arief Hidayat," Anggota DPRD Prov. Kaltara"
Jufri Budiman," Anggota DPRD Prov. Kaltara"
Yancong," Anggota DPRD Prov. Kaltara"
Syamsuddin Arfah," Anggota DPRD Prov. Kaltara"
Siti Laela," Anggota DPRD Prov. Kaltara"
Muddain," Anggota DPRD Prov. Kaltara"
Ari Yusnita," Mantan Anggota DPR RI"
Sofyan Udin Hiangio," Anggota DPRD Kota Tarakan"
Al Rhazali," Ketua DPRD Kota Tarakan"
Abdul Haris.," Kepala Badan Kesebangpol Tarakan"
Syamsi Sarman," Ketua PW Muhammadiyah Kaltara"
Achmad Usman," Anggota DPRD Prov. Kaltara"
