name,status
Isyak Meirobie," Wakil Bupati Belitung"
Tellie Gozali," Mantan Anggota DPD RI"
Hellyana," Anggota DPRD Babel"
Taufik Mardin," Anggota DPRD Babel"
Yoga Nursiwan," Anggota DPRD Babel"
Erwandi A. Rani," Anggota DPRD Babel & Mantan Wakil Bupati Belitung"
Hendra Pramono," Wakil Ketua II DPRD Belitung"
Djoni Alamsyah Hidayat," Direktur Utama PT Biliton Jaya Raya"
Syarifah Amelia," Direktur DirDik di Yayasan Al-Farabi Khasanah Indonesia"
MZ Hendra Caya," Sekda Kabupaten Belitung"
Muchtar Motong," Ketua DPC HNSI Kabupaten Belitung"
Azwardy Azhar," Pengusaha"
